date,open,high,low,close,volume
20200220,7.7753,7.8637,7.3672,7.6743,20251259
20200221,7.5621,7.5872,7.2258,7.3106,19232331
20200224,6.7169,7.0073,6.6625,6.7937,21422873
20200225,6.8689,6.9307,6.4129,6.5145,26387442
20200226,6.5148,6.8477,6.5133,6.6538,18741536
20200227,6.3406,6.6416,6.1911,6.2834,22660373
20200228,6.031,6.7774,6.0145,6.7179,28366882
20200302,6.8878,6.905,6.4923,6.8761,22268639
20200303,6.9318,6.9916,6.5286,6.614,16319828
20200304,6.7212,7.0866,6.6465,7.0771,14935184
20200305,6.8779,7.0445,6.7535,6.798,13508187
20200306,6.6187,6.6761,6.4177,6.6177,12885307
20200309,5.9675,6.4525,5.9247,6.1053,15353960
20200310,6.3814,6.4943,6.1189,6.4943,14516218
20200311,6.3544,6.3829,6.0339,6.1309,12551693
20200312,5.6083,5.8734,5.368,5.3807,20413535
20200313,5.7336,5.9953,5.4628,5.9908,15870943
20200316,5.2837,5.6242,4.8257,4.8854,18174303
20200317,4.9976,5.4938,4.7511,5.4045,20840799
20200318,4.9773,5.2222,4.4944,5.0451,21856657
20200319,5.0237,5.3911,4.8105,5.2976,19137847
20200320,5.4476,5.7292,5.1026,5.118,20115854
20200323,5.117,5.3849,4.9381,5.2906,16096866
20200324,5.6963,6.2849,5.6727,6.1983,27541095
20200325,6.3132,6.5127,6.061,6.1097,19835767
20200326,6.3167,6.5227,6.2187,6.3988,17439692
20200327,6.2187,6.545,6.1859,6.2866,15970744
20200330,6.352,6.6157,6.308,6.6065,15056253
20200331,6.6465,6.8505,6.4115,6.557,23749014
20200401,6.3592,6.5055,6.0018,6.0463,16422828
20200402,6.0754,6.3679,6.0274,6.3548,16894113
20200403,6.3172,6.3587,5.9299,6.0672,16580346
20200406,6.349,6.7132,6.2916,6.6764,18197062
20200407,6.8978,6.9214,6.4003,6.4433,19613047
20200408,6.5523,6.6652,6.4824,6.6403,13561113
20200409,6.7659,6.7888,6.4779,6.5408,13156195
20200413,6.4811,6.7212,6.3928,6.7125,9960182
20200414,6.8406,7.0973,6.8129,7.0632,13273667
20200415,6.8953,7.0686,6.85,6.9858,9153721
20200416,7.1411,7.4376,7.1279,7.3306,18640510
20200417,7.4127,7.4341,7.1376,7.2714,13478049
20200420,7.145,7.3007,7.096,7.1403,11234705
20200421,7.0224,7.0836,6.6443,6.704,18378996
20200422,6.896,7.1607,6.8505,7.1179,12118228
20200423,7.16,7.2917,7.0396,7.0647,10603988
20200424,7.0545,7.2055,6.9799,7.2035,8816137
20200427,7.3378,7.5495,7.3132,7.3898,11984699
20200428,7.5371,7.5669,7.242,7.2475,11072603
20200429,7.3821,7.4769,7.307,7.4241,9479047
20200430,7.3702,7.4241,7.2565,7.2704,9397943
20200501,7.0731,7.1863,6.9859,7.0341,8552445
20200504,6.9868,7.2595,6.9868,7.2457,7938880
20200505,7.3498,7.4692,7.2458,7.3067,9222391
20200506,7.3861,7.5122,7.3483,7.4075,8086639
20200507,7.5465,7.6468,7.4953,7.5836,9343263
20200508,7.6552,7.7796,7.6214,7.7734,8497678
20200511,7.7684,8.0719,7.7398,8.0251,11726504
20200512,8.0828,8.1316,7.7537,7.7634,12326482
20200513,7.8778,8.038,7.5567,7.741,15646252
20200514,7.8023,7.9958,7.649,7.9903,15057809
20200515,7.8502,8.4579,7.8346,8.4482,24691543
20200518,8.7166,8.8718,8.637,8.7064,19410086
20200519,8.7462,9.042,8.7189,8.7614,17933049
20200520,8.946,8.9977,8.8442,8.9251,14688405
20200521,9.0062,9.0071,8.6937,8.7313,19026741
20200522,8.781,9.0475,8.6696,8.981,25969125
20200526,9.1109,9.1358,8.6286,8.6741,19269476
20200527,8.5818,8.5895,7.9567,8.4826,29397306
20200528,8.3701,8.7166,8.3373,8.4445,18403204
20200529,8.5117,8.831,8.4425,8.831,18647994
20200601,8.789,8.7965,8.646,8.7621,9762775
20200602,8.7522,8.793,8.6146,8.781,9783014
20200603,8.7781,8.8218,8.6564,8.7256,9135972
20200604,8.6882,8.9025,8.638,8.7266,10606960
20200605,8.7544,8.956,8.6683,8.8794,12043651
20200608,8.8368,8.8491,8.6462,8.7649,9693431
