date,open,high,low,close,volume
20240708,539.0972,539.5545,523.4914,526.1454,14917495
20240709,530.5488,534.2564,525.0223,526.8213,8769088
20240710,527.6066,535.648,525.1911,531.4832,10983276
20240711,527.706,532.2486,505.3243,509.6251,16458253
20240712,494.7697,505.0427,491.2658,495.878,19750544
20240715,495.6394,503.6411,490.411,493.1843,12539163
20240716,498.4922,500.9274,482.8765,486.8525,14075833
20240717,476.2962,476.2962,456.3664,459.2192,28076595
20240718,472.1512,476.365,461.7539,472.9961,19267160
20240719,473.2048,483.7909,472.8569,473.9304,15149416
20240722,483.6567,489.1089,480.9978,484.4768,12023088
20240723,486.9022,492.2499,484.7949,485.7591,9455527
20240724,469.4723,473.4434,457.8177,458.5035,17649738
20240725,460.4816,460.7679,439.9952,450.6907,18240489
20240726,461.411,466.9525,456.6646,462.9069,14222388
20240729,467.0619,471.1174,462.231,462.9169,11339630
20240730,464.1991,469.8948,453.9609,460.412,11390439
20240731,468.195,473.6422,463.9506,471.9822,24285777
20240801,517.8753,524.0092,489.1486,494.7548,43083082
20240802,486.0672,498.1394,473.2943,485.2124,24044658
20240805,448.638,480.5803,448.0963,472.8768,21396191
20240806,476.1272,499.5459,475.7793,491.1267,20954959
20240807,500.1125,507.0904,483.94,485.9877,20105307
20240808,494.5162,506.9015,491.7529,506.5735,16156843
20240809,504.665,515.2312,502.667,514.6647,13696640
20240812,513.7601,514.9132,506.0467,512.8556,9767422
20240813,516.8912,528.3122,515.0424,525.3701,13743839
20240814,524.8929,530.7973,519.9925,523.6007,11444189
20240815,528.6006,536.5327,523.5411,534.1073,13482141
20240816,528.7099,530.4594,521.5133,524.2568,14776684
20240819,523.7101,528.4713,519.6247,526.1056,9879713
20240820,525.1812,527.9048,522.726,523.5709,7944391
20240821,523.9884,536.1649,523.7747,531.9504,13423292
20240822,533.7793,540.966,525.4198,528.7397,15708292
20240823,533.6998,536.6321,521.9109,524.8333,11323936
20240826,524.4357,524.8333,511.8616,517.9946,9584002
20240827,515.8674,520.8672,512.2194,515.9867,6282720
20240828,514.5702,517.9598,509.3766,513.6806,9106077
20240829,515.937,524.0381,512.5861,515.112,8317424
20240830,518.2232,520.4,512.1101,518.1834,9157541
20240903,516.5234,522.3384,505.5671,508.6907,12459113
20240904,503.0348,513.4917,501.0468,509.6648,8335207
20240905,508.6509,518.501,508.0844,513.7601,8640888
20240906,518.75,521.4387,495.2617,497.2696,14744521
20240909,503.1243,508.2633,499.0688,501.7625,11047828
20240910,505.1123,511.0962,497.0289,501.7625,9899022
20240911,503.9692,510.0425,492.6276,508.7603,10782532
20240912,513.949,523.551,512.1299,522.4477,11993342
20240913,517.2192,524.4168,514.0086,521.4736,10321422
20240916,521.8914,531.4031,514.7875,530.5873,9527646
20240917,534.8855,539.3627,527.891,533.607,11690779
20240918,534.3532,541.4521,531.2067,535.2337,10323537
20240919,547.2229,559.2319,543.7604,556.2769,15646951
20240920,557.1724,561.6496,553.4911,558.5155,22066817
20240923,566.6244,571.0817,559.5702,561.5601,12830669
20240924,563.8186,564.8783,551.3917,560.4855,12992956
20240925,561.2019,573.9671,560.8736,565.4404,16543350
20240926,572.8229,574.4845,559.5106,564.9728,14400787
20240927,567.2214,567.9575,561.6596,564.4952,9398367
20240930,564.8335,571.7782,561.9481,569.5495,12807206
20241001,575.0616,580.096,567.2214,573.5592,15259274
20241002,571.9573,573.0916,566.4652,569.9177,6524650
20241003,567.2711,580.4144,565.8583,579.8274,11580980
20241004,580.7825,593.8363,578.4942,592.9309,14199788
20241007,595.1994,599.9055,581.091,581.8272,12014198
20241008,586.7124,590.5629,583.0112,589.8963,7857377
20241009,590.9907,591.3887,578.6732,587.5283,9529707
20241010,584.6032,587.2497,579.5787,580.882,7740449
20241011,581.877,588.2248,579.7677,586.9711,8587051
20241014,591.2196,597.0699,586.9811,587.4388,8251971
20241015,587.1801,587.6278,577.2137,583.3097,9564236
20241016,578.4593,579.1409,571.1315,573.8776,11268384
20241017,580.3846,582.0163,572.2956,574.0169,8701158
20241018,578.1658,581.0188,572.3454,573.5592,7694274
20241021,573.1214,574.3252,566.2364,572.2558,8171879
20241022,571.3902,580.5836,569.2312,579.0712,8544463
20241023,577.0415,582.0461,559.6597,560.8437,14248419
20241024,564.2614,566.0074,558.6847,564.9131,7184651
20241025,571.037,578.3549,568.8332,570.3555,11337874
20241028,579.0613,580.8023,571.2211,575.2407,10925131
20241029,577.2156,590.6724,572.4926,590.2843,13019092
20241030,597.9454,598.1643,586.404,588.8118,26864925
20241031,582.0461,586.9214,560.1672,564.7141,26838395
20241101,564.739,570.7733,559.7194,564.2962,15303235
20241104,561.2517,565.8185,555.073,557.8489,12064601
20241105,564.4405,570.5843,563.8087,569.5396,9775379
20241106,559.9085,570.1067,552.3647,569.1615,18305429
20241107,573.9771,591.7965,572.3056,588.7123,14653708
20241108,588.5531,590.1052,581.5686,586.3642,9415699
20241111,583.3993,584.036,573.599,580.2254,10209051
20241112,585.5732,596.6321,577.4495,581.867,16287724
20241113,579.6632,582.6829,572.2658,577.0714,10757583
20241114,574.0865,577.8275,570.1167,574.2457,11053743
20241115,568.3357,569.6789,548.7153,551.2823,17712864
20241118,554.2273,557.0729,547.3124,551.6006,14346715
20241119,549.0735,558.5951,547.8198,558.2569,9522445
20241120,560.0876,563.4902,551.4017,562.6645,9797339
20241121,566.6443,567.1219,546.2777,560.2468,11154749
20241122,560.7044,560.9803,551.7897,556.3167,9164004
20241125,559.2618,569.7003,553.5806,562.2566,13599830
20241126,563.1421,574.584,562.3461,570.644,10356550
20241127,571.9872,572.0767,561.2518,566.3259,7200228
20241129,566.1269,575.5392,564.0375,571.4201,7130519
20241202,574.584,591.4982,572.6637,589.8366,12522371
20241203,591.9956,611.0987,588.2647,610.5515,14907164
20241204,609.8649,614.6606,602.0446,610.6808,14697006
20241205,613.9592,616.7699,603.9848,605.8553,8081212
20241206,607.0194,626.6099,605.4573,620.6204,16935503
20241209,620.7746,623.2371,603.1093,610.4719,11426015
20241210,614.4417,622.4312,609.6461,616.1928,10938854
20241211,620.2224,635.1765,618.3966,629.4854,10837228
20241212,628.3113,633.4452,624.0424,627.6049,7474717
20241213,624.0529,627.8935,613.7711,617.2176,8453349
20241216,627.2996,628.4696,615.953,621.589,10885625
20241217,623.5108,629.6845,613.9217,616.8094,12897842
20241218,618.3628,624.6957,593.7876,594.6539,17075480
20241219,607.7978,608.923,592.4732,593.0407,14958082
20241220,588.0719,600.5487,577.5369,582.7646,48989390
20241223,587.0961,598.5373,583.7603,597.3026,10205750
20241224,600.1554,605.408,596.7399,605.169,4726056
20241226,602.9087,603.7252,596.3964,600.7877,6091239
20241227,596.8644,599.2941,587.2953,597.2627,8084229
20241230,586.2497,594.4048,583.0932,588.7291,7025864
20241231,589.7498,591.4475,581.3705,583.0235,6019520
20250102,587.2156,602.3411,585.3237,596.6952,12682269
20250103,602.1917,606.9116,593.8808,602.0623,11436784
20250106,609.2267,628.3103,603.0481,627.5237,14560754
20250107,629.0173,629.4167,605.647,615.266,12071479
20250108,610.79,613.8218,600.2301,608.1264,10085846
20250110,607.4393,627.2349,594.8032,613.2446,19256564
20250113,604.5218,606.3838,595.9035,605.7466,10785031
20250114,602.4954,602.9186,586.0506,591.7264,13597992
20250115,607.6186,619.8166,603.9243,614.4992,15524302
20250116,608.9031,613.6329,607.1207,608.7039,8355349
20250117,621.3998,622.3159,601.1063,610.1677,17280600
20250121,615.2012,618.8606,606.4219,613.842,11674016
20250122,620.653,631.0088,616.8044,620.8521,12274011
20250123,624.6957,633.8965,618.5121,633.7471,9910163
20250124,633.6974,649.2311,631.5067,644.7403,19065329
20250127,623.9489,661.0507,622.4453,657.0776,28399190
20250128,663.1716,679.6812,656.6644,671.4663,20950107
20250129,672.1334,678.1537,662.843,673.6171,21377820
20250130,693.8608,707.7714,673.2288,684.0825,29322898
20250131,688.0655,702.3046,682.6685,686.2532,19331660
20250203,673.0396,701.0103,672.3824,694.498,21415739
20250204,699.5166,704.7045,688.6729,701.1995,13826270
20250205,700.5622,715.0902,696.0415,701.8766,17793766
20250206,702.8823,715.847,700.5124,708.9663,13080690
20250207,713.7509,721.931,708.7274,711.4856,16427067
20250210,715.5084,718.1372,708.3091,714.3534,12904317
20250211,710.2907,720.5868,707.0246,716.7432,12997959
20250212,712.2623,724.0122,709.5737,722.2995,12016517
20250213,718.4556,725.9041,714.9906,725.466,12569064
20250214,723.0562,737.7635,722.5385,733.5415,16901249
20250218,732.8744,733.8701,703.4399,713.3277,21938703
20250219,701.1049,703.9975,692.4368,700.7812,17535480
20250220,694.3138,702.6333,690.6943,691.8892,12587408
20250221,693.6218,700.8808,679.4622,680.6471,15660355
20250224,683.3655,684.3513,659.6367,665.2926,15676994
20250225,663.1438,665.1632,639.1342,654.7077,20579662
20250226,656.8486,680.1072,655.2056,670.8389,14488705
20250227,679.5518,685.7224,654.7774,655.4446,12500013
20250228,655.2455,666.7862,639.8727,665.3623,17534168
20250303,670.8141,678.3569,648.0799,652.2681,10843763
20250304,642.7687,646.9907,621.0015,637.2821,21495208
20250305,638.2778,656.6993,634.952,653.6821,13770026
20250306,645.2481,647.7997,621.4595,625.2633,13446454
20250307,622.7142,632.0942,598.0593,623.003,21375671
20250310,605.4877,607.5149,584.3778,595.4505,21999943
20250311,592.5279,612.3225,590.8103,603.1377,17401469
20250312,627.225,630.6404,606.7622,616.9289,15746966
20250313,617.611,617.8649,584.0192,588.1317,16480324
20250314,600.7791,606.8138,592.7811,605.558,12364505
20250317,605.4185,611.0395,595.9903,602.8671,15473909
20250318,598.0334,598.2327,572.7287,580.4028,20297708
20250319,582.3164,590.3316,572.8383,582.0971,20537498
20250320,580.7965,608.1493,577.5624,584.0306,24336505
20250321,581.4642,595.5368,578.9976,594.2461,25015864
20250324,612.9032,620.4478,610.1426,616.7702,15741274
20250325,624.6536,631.7497,619.0924,624.2051,15312540
20250326,622.7899,624.6435,604.5713,608.9266,12661891
20250327,599.9768,612.1857,598.0832,600.5549,10436524
20250328,598.2925,599.7277,571.9912,574.8017,17602823
20250331,561.6062,576.7551,551.4405,574.423,21124677
20250401,568.9215,587.9275,568.0844,584.0306,12836574
20250402,572.9779,590.6682,571.4331,581.9675,13470778
20250403,544.3843,550.7026,528.5178,529.8334,34777460
20250404,504.9174,516.2591,492.5391,503.0337,38589814
20250407,483.4697,537.5573,480.2804,514.515,36606136
20250408,541.4243,545.5902,501.17,508.7345,28034211
20250409,507.5535,585.9142,500.4225,583.8014,39216578
20250410,573.5559,579.3464,533.501,544.454,28173491
20250411,533.7053,545.5603,526.8136,541.7432,17642327
20250414,554.3058,555.8955,526.5046,529.6938,14130928
20250415,530.3167,536.1321,515.7608,519.7673,15558659
20250416,506.801,511.6447,493.9643,500.6219,18735075
20250417,503.552,505.5951,496.3396,499.7946,14593508
20250421,489.6738,491.8415,478.1875,483.0312,16165982
20250422,490.2169,505.1765,484.7255,498.5987,17399408
20250423,526.7488,533.5385,514.7841,518.5215,18173910
20250424,516.9867,532.1057,515.7608,531.3582,13910011
20250425,544.9623,548.0121,534.4478,545.4308,17098921
20250428,553.7726,556.6129,538.7732,547.8925,15178995
20250429,544.165,554.6994,542.2913,552.5767,11835036
20250430,536.5906,547.2546,527.7205,547.1549,29243971
20250501,590.0852,590.9572,568.5827,570.2869,31159033
20250502,581.4941,602.309,576.3864,595.0136,24739260
20250505,589.233,601.1828,586.0737,597.256,13887724
20250506,590.5337,594.0269,584.6086,585.3362,10600650
20250507,588.3759,601.0482,584.6983,594.8043,13160976
20250508,604.2474,609.2415,594.6149,596.0002,14622805
